Symbol,Date,Open,High,Low,Close,Volume
A,16-Mar-2020,63.41,66.62,61.13,64.13,4742800
AA,16-Mar-2020,6.94,7.67,6.73,6.82,7319000
AAAU,16-Mar-2020,14.59,15.14,14.49,15.04,412000
AACG,16-Mar-2020,0.85,0.91,0.85,0.85,16200
AADR,16-Mar-2020,36.2,38.8811,35.91,37.9026,32500
AAL,16-Mar-2020,12.41,16.2,12,15.92,84916800
AAMC,16-Mar-2020,13.8915,16.07,13.505,14.0758,4700
AAME,16-Mar-2020,2.5,2.5,2.3928,2.42,1400
AAN,16-Mar-2020,27.72,27.95,23.93,24.2,1554200
AAOI,16-Mar-2020,5.53,6.16,5.36,5.64,763000
AAON,16-Mar-2020,42,52.93,42,51.29,559200
AAP,16-Mar-2020,102.83,107.49,93.88,95.25,1416100
AAPL,16-Mar-2020,241.95,259.08,240,242.21,80605800
AAT,16-Mar-2020,30.29,32.33,24.52,24.58,508300
AAU,16-Mar-2020,0.2501,0.28,0.24,0.255,479600
AAWW,16-Mar-2020,16,19.23,15.19,18.71,1220400
AAXJ,16-Mar-2020,55.59,58.07,53.89,55.41,1835600
AAXN,16-Mar-2020,54.32,58.65,52.7575,53.92,1015100
AB,16-Mar-2020,20,23.67,19.95,19.97,827600
ABB,16-Mar-2020,15.35,16.25,15.35,15.47,3485700
ABBV,16-Mar-2020,79,82.18,73.58,74.27,20915900
ABC,16-Mar-2020,76,87.42,76,80.5,2777500
ABCB,16-Mar-2020,21.7,22.81,21.45,21.83,984000
ABEO,16-Mar-2020,1.59,1.62,1.39,1.45,1337800
ABEQ,16-Mar-2020,19.96,20.76,19.3156,19.3228,14100
ABEV,16-Mar-2020,2.27,2.405,2.11,2.11,26411000
ABG,16-Mar-2020,42.62,52.87,42.62,46.39,345300
ABIO,16-Mar-2020,2.71,2.71,2.45,2.45,27800
ABM,16-Mar-2020,24.04,27.63,24,26.42,648300
ABMD,16-Mar-2020,132.13,148.45,132.13,142.44,1229500
ABR,16-Mar-2020,7.5,8.115,7.26,7.26,3054100
ABR-A,16-Mar-2020,21.1,22.546,21.07,22,12500
ABR-B,16-Mar-2020,20.95,20.95,17.9,19.2,10900
ABR-C,16-Mar-2020,20.01,21.97,18.607,21.3,13700
ABT,16-Mar-2020,70.65,79.25,70,73.66,14358900
ABTX,16-Mar-2020,24.5,25.305,22.76,23.22,157800
ABUS,16-Mar-2020,1.94,1.94,1.42,1.42,858500
AC,16-Mar-2020,34.59,34.59,31.84,31.86,19800
ACA,16-Mar-2020,32.45,35.79,32.45,33.1,306100
ACAD,16-Mar-2020,31.39,34.93,30.02,31.65,2727700
ACAM,16-Mar-2020,9.8,9.85,9.65,9.65,187100
ACB,16-Mar-2020,0.6995,0.77,0.68,0.6921,20829300
ACBI,16-Mar-2020,14.95,14.95,12.52,12.53,95500
ACC,16-Mar-2020,33.93,34.04,24.74,25.83,2601100
ACCO,16-Mar-2020,4.98,5.3,4.83,4.85,1218300
ACE.W,16-Mar-2020,1.41,1.41,1.2505,1.39,46900
ACEL,16-Mar-2020,8.2,8.2,6.79,6.86,176200
ACER,16-Mar-2020,2.6,3.23,2.4219,2.65,76400
ACES,16-Mar-2020,28.8,28.8,26,26.25,58600
ACGL,16-Mar-2020,30.04,30.31,27.07,27.24,2928100
ACGLO,16-Mar-2020,22.84,22.9911,16.45,22.13,99000
ACGLP,16-Mar-2020,22.75,22.9,21.16,21.85,81200
ACH,16-Mar-2020,5.39,5.49,5.2836,5.31,63400
ACHC,16-Mar-2020,18.34,19.79,17.03,17.18,1827900
ACHV,16-Mar-2020,0.28,0.2966,0.2257,0.23,1553600
ACIA,16-Mar-2020,65.45,65.62,64.02,64.63,1117500
ACIO,16-Mar-2020,24.15,27.06,22.92,23.99,38400
ACIU,16-Mar-2020,4.49,4.6,4.25,4.25,148200
ACIW,16-Mar-2020,24.1,25.27,22.11,22.84,1336200
ACLS,16-Mar-2020,18.32,18.82,16.41,16.71,564000
ACM,16-Mar-2020,29.88,29.88,24.35,27.76,5507800
ACMR,16-Mar-2020,19.15,21.89,18.97,21.01,520600
ACN,16-Mar-2020,148.29,166.51,143.51,152.54,5324800
ACNB,16-Mar-2020,20.5,23.79,20.1,20.51,29300
ACOR,16-Mar-2020,0.8,0.86,0.7701,0.8001,671900
ACP,16-Mar-2020,8.15,8.15,7.51,7.65,286500
ACRE,16-Mar-2020,10.02,10.51,6.72,6.83,1035400
ACRS,16-Mar-2020,0.8801,0.9,0.8213,0.8748,272900
ACRX,16-Mar-2020,0.8501,1.05,0.8,0.8399,1849900
ACSG,16-Mar-2020,19.69,20.5,19.6439,19.7898,2600
ACSI,16-Mar-2020,26.95,27.04,26.0148,26.0148,1100
ACST,16-Mar-2020,0.319,0.32,0.2561,0.285,1058900
ACT,16-Mar-2020,17.38,18.11,17.38,17.48,3000
ACTG,16-Mar-2020,1.76,2.3,1.75,2.09,415600
ACTT,16-Mar-2020,9.9,10.08,9.8,9.88,812700
ACTTU,16-Mar-2020,10.43,10.59,10.1,10.59,4300
ACU,16-Mar-2020,17.27,21.28,17.27,20.81,13900
ACV,16-Mar-2020,15.1,16.46,15.1,15.58,147400
ACWF,16-Mar-2020,22.33,23.51,22.2495,22.2495,11900
ACWI,16-Mar-2020,53.8,60.34,53.8,56.84,6968700
ACWV,16-Mar-2020,72.57,79.28,71.89,75.51,806200
ACWX,16-Mar-2020,33.63,35.2934,32.9571,33.75,2439500
ACY,16-Mar-2020,2.64,2.64,2.22,2.23,16400
ADAP,16-Mar-2020,2.2,2.7,2,2.25,1086900
ADBE,16-Mar-2020,288.36,307.11,283.25,286.03,7140100
ADC,16-Mar-2020,67.03,69.99,55.93,56.98,884200
ADES,16-Mar-2020,6.06,6.41,5.88,5.89,217700
ADI,16-Mar-2020,89.84,92.855,83.02,83.21,7287200
ADIL,16-Mar-2020,1.3,1.375,1.22,1.34,15300
ADM,16-Mar-2020,31.1,34.59,31.01,32.68,5684900
ADMA,16-Mar-2020,1.84,1.99,1.77,1.8,2465800
ADME,16-Mar-2020,27.7377,28.4588,27.22,27.77,32900
ADMP,16-Mar-2020,0.37,0.37,0.33,0.337,529300
ADMS,16-Mar-2020,2.57,2.69,2,2.16,455000
ADNT,16-Mar-2020,12.01,12.25,9.3,9.54,2422900
ADP,16-Mar-2020,128.06,131.72,122.05,122.46,4415800
ADPT,16-Mar-2020,16.34,17.56,15.19,16.96,1379400
ADRE,16-Mar-2020,32.47,33.3,29.43,31.8489,26100
ADRO,16-Mar-2020,2.42,2.58,2.25,2.29,896200
ADS,16-Mar-2020,36,43.08,35.97,36.11,2389000
ADSK,16-Mar-2020,140.99,153.49,135.24,148.08,4101200
ADSW,16-Mar-2020,32.6,33.085,31.86,32.8,3644400
ADT,16-Mar-2020,4.33,4.33,3.855,4.03,4079800
ADTN,16-Mar-2020,5.78,6.24,5.75,5.9,445400
ADUS,16-Mar-2020,58.36,62.45,52.74,53,164300
ADVM,16-Mar-2020,8.93,9.8,8.55,8.97,1939600
ADX,16-Mar-2020,11.65,12.25,11.5538,11.71,640000
ADXN,16-Mar-2020,8,8,7.82,7.82,200
ADXS,16-Mar-2020,0.425,0.535,0.42,0.5,1685500
AE,16-Mar-2020,22.11,22.11,19,19.25,23800
AEB,16-Mar-2020,19,20.97,19,19,56800
AEE,16-Mar-2020,70.02,72.33,64.93,65.95,3280400
AEF,16-Mar-2020,5.07,5.3349,5,5.27,219000
AEFC,16-Mar-2020,22,22,19.33,19.33,147200
AEG,16-Mar-2020,1.8,1.96,1.8,1.88,4583400
AEGN,16-Mar-2020,14.3,14.82,13.5,13.52,161000
AEHR,16-Mar-2020,1.41,1.41,1.22,1.22,58200
AEIS,16-Mar-2020,40.63,43.91,40.04,40.62,529500
AEL,16-Mar-2020,15.5,17.6,14.9878,15.36,998800
AEL-A,16-Mar-2020,14.2,17.7,14.0406,16.7,98800
AEM,16-Mar-2020,32.11,40.58,31,38.69,6192300
AEMD,16-Mar-2020,1.3,1.4,1.19,1.23,379200
AEO,16-Mar-2020,8.8,8.99,8.26,8.54,5702600
AEP,16-Mar-2020,78.57,86.18,77.76,81.66,5564600
AEP-B,16-Mar-2020,51,53.74,46.39,46.58,413800
AER,16-Mar-2020,20.01,22.14,19.11,20.84,6374100
AERI,16-Mar-2020,13.02,14.75,12.97,13.11,1044600
AES,16-Mar-2020,11.55,12.7,10.99,10.99,6959300
AESE,16-Mar-2020,1,1.28,1,1.1915,33800
AESR,16-Mar-2020,8.01,8.01,7.6012,7.6012,1800
AEY,16-Mar-2020,2.3,2.416,2.09,2.09,150000
AEYE,16-Mar-2020,2.8,3.5,2.5472,2.57,14700
AEZS,16-Mar-2020,0.5,0.51,0.4335,0.4701,293900
AFB,16-Mar-2020,12.44,12.56,12.11,12.37,156900
AFC,16-Mar-2020,22.2,23.86,22.2,23.45,29500
AFG,16-Mar-2020,68,68.35,55.41,56.2,805800
AFGB,16-Mar-2020,23.73,24.05,23,23,37000
AFGC,16-Mar-2020,21.77,21.77,18,19.79,24800
AFGH,16-Mar-2020,23.93,23.93,22.115,22.65,35700
AFH,16-Mar-2020,0.4,0.4,0.33,0.355,136200
AFI,16-Mar-2020,2.11,3.1,1.9,2.72,396800
AFIF,16-Mar-2020,9.91,10.0382,9.91,10.0382,36700
AFIN,16-Mar-2020,6.3,6.93,5.83,5.84,686100
AFINP,16-Mar-2020,14.5,15.95,11.52,14.5,193000
AFK,16-Mar-2020,13.5,13.5,12,12.46,47600
AFL,16-Mar-2020,30.1,32.5201,28.82,28.99,5979200
AFLG,16-Mar-2020,15.28,15.75,14.7906,14.7906,7400
AFMC,16-Mar-2020,13.675,13.95,13.323,13.323,3700
AFMD,16-Mar-2020,1.55,1.63,1.42,1.44,804100
AFSM,16-Mar-2020,13.34,13.36,12.597,12.597,3000
AFT,16-Mar-2020,11.5,11.97,11.42,11.52,107300
AFTY,16-Mar-2020,14.45,14.89,14.31,14.58,9600
AFYA,16-Mar-2020,17.72,19.49,16.92,17.22,363200
AG,16-Mar-2020,4.28,5.835,4.17,5.49,9076300
AGCO,16-Mar-2020,49.71,54.4,47.635,47.97,1245200
AGD,16-Mar-2020,7.28,7.28,6.8,6.93,94400
AGE,16-Mar-2020,0.94,1.21,0.8781,0.9688,164900
AGEN,16-Mar-2020,2.29,2.39,2.21,2.23,1884600
AGFS,16-Mar-2020,1.25,1.42,1.25,1.39,93400
AGFSW,16-Mar-2020,0.012,0.012,0.012,0.012,200
AGG,16-Mar-2020,111.37,113.95,110.46,113.73,12310300
AGGP,16-Mar-2020,18.68,19.8089,18.68,19.754,130200
AGGY,16-Mar-2020,49.28,49.9999,49.21,49.91,583900
AGI,16-Mar-2020,3.41,4.94,3.34,4.71,7520700
AGIO,16-Mar-2020,30.21,35.91,30.21,32.6,982100
AGLE,16-Mar-2020,4.4,5.25,3.5,3.51,154900
AGM,16-Mar-2020,51.19,53.85,50.01,50.83,86500
AGM.A,16-Mar-2020,52.1,52.1,52.1,52.1,100
AGM-A,16-Mar-2020,25,25.4,23.74,24,16100
AGM-C,16-Mar-2020,25.5,25.5,24.75,24.75,500
AGM-D,16-Mar-2020,23.8,24.999,23.8,24.999,21900
AGMH,16-Mar-2020,15.1,15.1,14.97,14.97,1800
AGN,16-Mar-2020,173.75,175.99,164.46,164.7,7849500
AGNC,16-Mar-2020,11.4,13.4342,11.06,11.81,26205700
AGNCM,16-Mar-2020,19,20.4,18.75,18.8,75600
AGNCN,16-Mar-2020,18.76,19.4796,17.61,18.56,439000
