"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RDHL","Redhill Biopharma Ltd.","7","$198.58M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rdhl",
"RBZ","Reebonz Holding Limited","1.19","$7.4M","2017","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/rbz",
"REED","Reeds, Inc.","0.7514","$25.34M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/reed",
"REG","Regency Centers Corporation","66.72","$11.18B","1993","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/reg",
"REGN","Regeneron Pharmaceuticals, Inc.","324.49","$35.64B","1991","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/regn",
"RGNX","REGENXBIO Inc.","36.14","$1.33B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/rgnx",
"RGLS","Regulus Therapeutics Inc.","0.6869","$14.3M","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rgls",
"REKR","Rekor Systems, Inc.","2.26","$45.81M","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/rekr",
"RBNC","Reliant Bancorp, Inc.","22.59","$252.9M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/rbnc",
"RELV","Reliv&#39; International, Inc.","n/a","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/relv",
"RLMD","Relmada Therapeutics, Inc.","25.48","$252.12M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rlmd",
"MARK","Remark Holdings, Inc.","0.7894","$36.42M","n/a","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/mark",
"RNST","Renasant Corporation","35.66","$2.08B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/rnst",
"REGI","Renewable Energy Group, Inc.","17.29","$673.6M","2012","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/regi",
"RCII","Rent-A-Center Inc.","23.98","$1.3B","1995","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/rcii",
"RPAY","Repay Holdings Corporation","12.98","$510.22M","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rpay",
"RGEN","Repligen Corporation","80.91","$4.17B","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/rgen",
"REPL","Replimune Group, Inc.","17.07","$540.54M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/repl",
"KRMD","Repro Med Systems, Inc.","4.6","$176.57M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/krmd",
"RBCAA","Republic Bancorp, Inc.","46.22","$968.16M","1998","Finance","Major Banks","https://old.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","4.15","$244.2M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/frbk",
"REFR","Research Frontiers Incorporated","3.63","$112.65M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/refr",
"RESN","Resonant Inc.","2.41","$71.27M","2014","Technology","Semiconductors","https://old.nasdaq.com/symbol/resn",
"RECN","Resources Connection, Inc.","14.88","$475.72M","2000","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/recn",
"HAIR","Restoration Robotics, Inc.","0.3737","$15.27M","2017","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/hair",
"TORC","resTORbio, Inc.","7.72","$279.63M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/torc",
"ROIC","Retail Opportunity Investments Corp.","18.38","$2.1B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/roic",
"RETO","ReTo Eco-Solutions, Inc.","1.13","$25.72M","2017","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/reto",
"RTRX","Retrophin, Inc.","12.47","$535.64M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rtrx",
"RVNC","Revance Therapeutics, Inc.","15.12","$666.83M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rvnc",
"RWLK","ReWalk Robotics Ltd.","2.74","$19.97M","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/rwlk",
"REXN","Rexahn Pharmaceuticals, Inc.","1.93","$7.76M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rexn",
"RFIL","RF Industries, Ltd.","6.1","$57.29M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/rfil",
"RGCO","RGC Resources Inc.","29.24","$235.82M","n/a","Public Utilities","Oil & Gas Production","https://old.nasdaq.com/symbol/rgco",
"RBKB","Rhinebeck Bancorp, Inc.","10.75","$119.68M","2019","Finance","Banks","https://old.nasdaq.com/symbol/rbkb",
"RYTM","Rhythm Pharmaceuticals, Inc.","21.05","$726.54M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rytm",
"RBBN","Ribbon Communications Inc. ","4.25","$467.54M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/rbbn",
"RIBT","RiceBran Technologies","2.83","$96.92M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ribt",
"RELL","Richardson Electronics, Ltd.","5.55","$72.85M","1983","Technology","Electronic Components","https://old.nasdaq.com/symbol/rell",
"RMBI","Richmond Mutual Bancorporation, Inc.","13.85","$187.34M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/rmbi",
"RIGL","Rigel Pharmaceuticals, Inc.","2.11","$353.66M","2000","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rigl",
"RNET","RigNet, Inc.","5.3","$105.83M","2010","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/rnet",
"RMNI","Rimini Street, Inc.","3.96","$263.47M","2015","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rmni",
"RIOT","Riot Blockchain, Inc","1.57","$36.98M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/riot",
"REDU","RISE Education Cayman Ltd","7.725","$439.47M","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/redu",
"RTTR","Ritter Pharmaceuticals, Inc.","0.28","$2.64M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rttr",
"RVSB","Riverview Bancorp Inc","7.43","$168.82M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/rvsb",
"RIVE","Riverview Financial Corporation","n/a","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/rive",
"RCKT","Rocket Pharmaceuticals, Inc.","14.85","$747.67M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rckt",
"RMTI","Rockwell Medical, Inc.","1.97","$125.73M","1998","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/rmti",
"RCKY","Rocky Brands, Inc.","30.54","$225.9M","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/rcky",
"RMCF","Rocky Mountain Chocolate Factory, Inc.","8.74","$52.14M","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/rmcf",
"ROKU","Roku, Inc.","141.05","$16.39B","2017","Consumer Services","Television Services","https://old.nasdaq.com/symbol/roku",
"ROSE","Rosehill Resources Inc.","1.68","$74.35M","2016","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/rose",
"ROSEU","Rosehill Resources Inc.","n/a","n/a","2016","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/roseu",
"ROSEW","Rosehill Resources Inc.","0.2","n/a","2016","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/rosew",
"ROST","Ross Stores, Inc.","112.26","$40.61B","1985","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/rost",
"RGLD","Royal Gold, Inc.","109.48","$7.18B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/rgld",
"RTIX","RTI Surgical Holdings, Inc.","1.83","$135.23M","2000","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/rtix",
"RBCN","Rubicon Technology, Inc.","8.415","$22.53M","2007","Technology","Semiconductors","https://old.nasdaq.com/symbol/rbcn",
"RUBY","Rubius Therapeutics, Inc.","10.21","$813.24M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/ruby",
